home,away,home_slug,away_slug,home_goals,away_goals,result,date,season,club_goals_home,club_tacklesWon_home,club_blocks_home,club_totalPasses_home,tps_p_goals_home,tps_p_assists_home,tps_p_totalPasses_home,tps_p_cleanSheets_home,ply_sum_rank_home,ply_sum_value_home,ply_mean_rank_home,ply_mean_value_home,mv_Rank_home,mv_ValueAug1EUR_home,mv_CurrentValueEUR_home,mv_ChangePct_home,mv_Arrivals_home,mv_Departures_home,mvply_sum_home,mvply_mean_home,mvply_count_home,mgr_TenureDays_home,prev_rank_home,prev_pts_home,trf_arrivals_home,trf_spend_in_home,trf_departures_home,trf_spend_out_home,trf_net_spend_home,club_goals_away,club_tacklesWon_away,club_blocks_away,club_totalPasses_away,tps_p_goals_away,tps_p_assists_away,tps_p_totalPasses_away,tps_p_cleanSheets_away,ply_sum_rank_away,ply_sum_value_away,ply_mean_rank_away,ply_mean_value_away,mv_Rank_away,mv_ValueAug1EUR_away,mv_CurrentValueEUR_away,mv_ChangePct_away,mv_Arrivals_away,mv_Departures_away,mvply_sum_away,mvply_mean_away,mvply_count_away,mgr_TenureDays_away,prev_rank_away,prev_pts_away,trf_arrivals_away,trf_spend_in_away,trf_departures_away,trf_spend_out_away,trf_net_spend_away,y3,goal_diff
Sunderland,Middlesbrough,sunderland,middlesbrough,1.0,2.0,A,2016-08-21,2016-2017,5.0,0.0,0.0,1358.0,0.0,2.0,212.0,1.0,,,,,,,,,,,,,,436.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,-1.0
West Ham,Bournemouth,west ham,bournemouth,1.0,0.0,H,2016-08-21,2016-2017,0.0,0.0,0.0,1327.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,4.0,34.0,0.0,0.0,2.0,0.0,0.0,2.0,,,,,13.0,420450000.0,383000000.0,-8.9,20.0,18.0,40000000.0,40000000.0,1.0,802.0,11.0,32.0,,,,,,0.0,1.0
Chelsea,Burnley,chelsea,burnley,3.0,0.0,H,2016-08-27,2016-2017,7.0,0.0,10.0,1639.0,4.0,3.0,403.0,2.0,,,,,4.0,1170000000.0,1080000000.0,-7.4,26.0,23.0,675000000.0,61363636.36363637,11.0,464.0,4.0,41.0,,,,,,4.0,0.0,12.0,0.0,2.0,0.0,0.0,1.0,,,,,20.0,235900000.0,226150000.0,-4.1,24.0,21.0,,,,432.0,23.0,3.0,,,,,,0.0,3.0
Crystal Palace,Bournemouth,crystal palace,bournemouth,1.0,1.0,D,2016-08-27,2016-2017,4.0,40.0,12.0,0.0,0.0,0.0,0.0,2.0,,,,,11.0,456200000.0,432200000.0,-5.3,16.0,13.0,90000000.0,45000000.0,2.0,568.0,5.0,38.0,,,,,,4.0,34.0,0.0,0.0,2.0,0.0,0.0,2.0,,,,,13.0,420450000.0,383000000.0,-8.9,20.0,18.0,40000000.0,40000000.0,1.0,802.0,11.0,32.0,,,,,,1.0,0.0
Everton,Stoke,everton,stoke,1.0,0.0,H,2016-08-27,2016-2017,5.0,31.0,18.0,0.0,2.0,4.0,0.0,0.0,,,,,15.0,340200000.0,368600000.0,8.3,18.0,18.0,50000000.0,50000000.0,1.0,242.0,8.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
Hull,Man United,hull,man united,0.0,1.0,A,2016-08-27,2016-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,31.0,0.0,1380.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,-1.0
Leicester,Swansea,leicester,swansea,2.0,1.0,H,2016-08-27,2016-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
Southampton,Sunderland,southampton,sunderland,1.0,1.0,D,2016-08-27,2016-2017,,,,,,,,,,,,,,,,,,,,,,,21.0,6.0,,,,,,5.0,0.0,0.0,1358.0,0.0,2.0,212.0,1.0,,,,,,,,,,,,,,436.0,,,,,,,,1.0,0.0
Tottenham,Liverpool,tottenham,liverpool,1.0,1.0,D,2016-08-27,2016-2017,5.0,33.0,10.0,1319.0,0.0,2.0,199.0,2.0,,,,,,,,,,,,,,,,,,,,,,8.0,30.0,13.0,1370.0,2.0,3.0,217.0,0.0,,,,,3.0,1040000000.0,1120000000.0,8.1,15.0,12.0,910000000.0,75833333.33333333,12.0,466.0,1.0,48.0,,,,,,1.0,0.0
Watford,Arsenal,watford,arsenal,1.0,3.0,A,2016-08-27,2016-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,14.0,1264.0,2.0,2.0,0.0,2.0,,,,,1.0,1320000000.0,1330000000.0,0.6,15.0,14.0,1150000000.0,67647058.8235294,17.0,2089.0,2.0,44.0,,,,,,2.0,-2.0
Man City,West Ham,manchester city,west ham,3.0,1.0,H,2016-08-28,2016-2017,5.0,0.0,0.0,1653.0,3.0,0.0,214.0,0.0,,,,,2.0,1320000000.0,1230000000.0,-6.8,16.0,16.0,1038000000.0,64875000.0,16.0,3358.0,3.0,43.0,,,,,,0.0,0.0,0.0,1327.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,2.0
West Brom,Middlesbrough,west bromwich albion,middlesbrough,0.0,0.0,D,2016-08-28,2016-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
Arsenal,Southampton,arsenal,southampton,2.0,1.0,H,2016-09-10,2016-2017,6.0,0.0,14.0,1264.0,2.0,2.0,0.0,2.0,,,,,1.0,1320000000.0,1330000000.0,0.6,15.0,14.0,1150000000.0,67647058.8235294,17.0,2089.0,2.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,6.0,,,,,,0.0,1.0
Bournemouth,West Brom,bournemouth,west bromwich albion,1.0,0.0,H,2016-09-10,2016-2017,4.0,34.0,0.0,0.0,2.0,0.0,0.0,2.0,,,,,13.0,420450000.0,383000000.0,-8.9,20.0,18.0,40000000.0,40000000.0,1.0,802.0,11.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
Burnley,Hull,burnley,hull,1.0,1.0,D,2016-09-10,2016-2017,4.0,0.0,12.0,0.0,2.0,0.0,0.0,1.0,,,,,20.0,235900000.0,226150000.0,-4.1,24.0,21.0,,,,432.0,23.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
Liverpool,Leicester,liverpool,leicester,4.0,1.0,H,2016-09-10,2016-2017,8.0,30.0,13.0,1370.0,2.0,3.0,217.0,0.0,,,,,3.0,1040000000.0,1120000000.0,8.1,15.0,12.0,910000000.0,75833333.33333333,12.0,466.0,1.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0
Man United,Man City,man united,manchester city,1.0,2.0,A,2016-09-10,2016-2017,0.0,31.0,0.0,1380.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,0.0,1653.0,3.0,0.0,214.0,0.0,,,,,2.0,1320000000.0,1230000000.0,-6.8,16.0,16.0,1038000000.0,64875000.0,16.0,3358.0,3.0,43.0,,,,,,2.0,-1.0
Middlesbrough,Crystal Palace,middlesbrough,crystal palace,1.0,2.0,A,2016-09-10,2016-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,40.0,12.0,0.0,0.0,0.0,0.0,2.0,,,,,11.0,456200000.0,432200000.0,-5.3,16.0,13.0,90000000.0,45000000.0,2.0,568.0,5.0,38.0,,,,,,2.0,-1.0
Stoke,Tottenham,stoke,tottenham,0.0,4.0,A,2016-09-10,2016-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,33.0,10.0,1319.0,0.0,2.0,199.0,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,-4.0
West Ham,Watford,west ham,watford,2.0,4.0,A,2016-09-10,2016-2017,0.0,0.0,0.0,1327.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,-2.0
Swansea,Chelsea,swansea,chelsea,2.0,2.0,D,2016-09-11,2016-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,10.0,1639.0,4.0,3.0,403.0,2.0,,,,,4.0,1170000000.0,1080000000.0,-7.4,26.0,23.0,675000000.0,61363636.36363637,11.0,464.0,4.0,41.0,,,,,,1.0,0.0
Sunderland,Everton,sunderland,everton,0.0,3.0,A,2016-09-12,2016-2017,5.0,0.0,0.0,1358.0,0.0,2.0,212.0,1.0,,,,,,,,,,,,,,436.0,,,,,,,,5.0,31.0,18.0,0.0,2.0,4.0,0.0,0.0,,,,,15.0,340200000.0,368600000.0,8.3,18.0,18.0,50000000.0,50000000.0,1.0,242.0,8.0,37.0,,,,,,2.0,-3.0
Chelsea,Liverpool,chelsea,liverpool,1.0,2.0,A,2016-09-16,2016-2017,7.0,0.0,10.0,1639.0,4.0,3.0,403.0,2.0,,,,,4.0,1170000000.0,1080000000.0,-7.4,26.0,23.0,675000000.0,61363636.36363637,11.0,464.0,4.0,41.0,,,,,,8.0,30.0,13.0,1370.0,2.0,3.0,217.0,0.0,,,,,3.0,1040000000.0,1120000000.0,8.1,15.0,12.0,910000000.0,75833333.33333333,12.0,466.0,1.0,48.0,,,,,,2.0,-1.0
Everton,Middlesbrough,everton,middlesbrough,3.0,1.0,H,2016-09-17,2016-2017,5.0,31.0,18.0,0.0,2.0,4.0,0.0,0.0,,,,,15.0,340200000.0,368600000.0,8.3,18.0,18.0,50000000.0,50000000.0,1.0,242.0,8.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0
Hull,Arsenal,hull,arsenal,1.0,4.0,A,2016-09-17,2016-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,14.0,1264.0,2.0,2.0,0.0,2.0,,,,,1.0,1320000000.0,1330000000.0,0.6,15.0,14.0,1150000000.0,67647058.8235294,17.0,2089.0,2.0,44.0,,,,,,2.0,-3.0
Leicester,Burnley,leicester,burnley,3.0,0.0,H,2016-09-17,2016-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,12.0,0.0,2.0,0.0,0.0,1.0,,,,,20.0,235900000.0,226150000.0,-4.1,24.0,21.0,,,,432.0,23.0,3.0,,,,,,0.0,3.0
Man City,Bournemouth,manchester city,bournemouth,4.0,0.0,H,2016-09-17,2016-2017,5.0,0.0,0.0,1653.0,3.0,0.0,214.0,0.0,,,,,2.0,1320000000.0,1230000000.0,-6.8,16.0,16.0,1038000000.0,64875000.0,16.0,3358.0,3.0,43.0,,,,,,4.0,34.0,0.0,0.0,2.0,0.0,0.0,2.0,,,,,13.0,420450000.0,383000000.0,-8.9,20.0,18.0,40000000.0,40000000.0,1.0,802.0,11.0,32.0,,,,,,0.0,4.0
West Brom,West Ham,west bromwich albion,west ham,4.0,2.0,H,2016-09-17,2016-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1327.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,2.0
Crystal Palace,Stoke,crystal palace,stoke,4.0,1.0,H,2016-09-18,2016-2017,4.0,40.0,12.0,0.0,0.0,0.0,0.0,2.0,,,,,11.0,456200000.0,432200000.0,-5.3,16.0,13.0,90000000.0,45000000.0,2.0,568.0,5.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0
Southampton,Swansea,southampton,swansea,1.0,0.0,H,2016-09-18,2016-2017,,,,,,,,,,,,,,,,,,,,,,,21.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
Tottenham,Sunderland,tottenham,sunderland,1.0,0.0,H,2016-09-18,2016-2017,5.0,33.0,10.0,1319.0,0.0,2.0,199.0,2.0,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,0.0,1358.0,0.0,2.0,212.0,1.0,,,,,,,,,,,,,,436.0,,,,,,,,0.0,1.0
Watford,Man United,watford,man united,3.0,1.0,H,2016-09-18,2016-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,31.0,0.0,1380.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0
Arsenal,Chelsea,arsenal,chelsea,3.0,0.0,H,2016-09-24,2016-2017,6.0,0.0,14.0,1264.0,2.0,2.0,0.0,2.0,,,,,1.0,1320000000.0,1330000000.0,0.6,15.0,14.0,1150000000.0,67647058.8235294,17.0,2089.0,2.0,44.0,,,,,,7.0,0.0,10.0,1639.0,4.0,3.0,403.0,2.0,,,,,4.0,1170000000.0,1080000000.0,-7.4,26.0,23.0,675000000.0,61363636.36363637,11.0,464.0,4.0,41.0,,,,,,0.0,3.0
Bournemouth,Everton,bournemouth,everton,1.0,0.0,H,2016-09-24,2016-2017,4.0,34.0,0.0,0.0,2.0,0.0,0.0,2.0,,,,,13.0,420450000.0,383000000.0,-8.9,20.0,18.0,40000000.0,40000000.0,1.0,802.0,11.0,32.0,,,,,,5.0,31.0,18.0,0.0,2.0,4.0,0.0,0.0,,,,,15.0,340200000.0,368600000.0,8.3,18.0,18.0,50000000.0,50000000.0,1.0,242.0,8.0,37.0,,,,,,0.0,1.0
Liverpool,Hull,liverpool,hull,5.0,1.0,H,2016-09-24,2016-2017,8.0,30.0,13.0,1370.0,2.0,3.0,217.0,0.0,,,,,3.0,1040000000.0,1120000000.0,8.1,15.0,12.0,910000000.0,75833333.33333333,12.0,466.0,1.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0
Man United,Leicester,man united,leicester,4.0,1.0,H,2016-09-24,2016-2017,0.0,31.0,0.0,1380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0
Middlesbrough,Tottenham,middlesbrough,tottenham,1.0,2.0,A,2016-09-24,2016-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,33.0,10.0,1319.0,0.0,2.0,199.0,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,-1.0
Stoke,West Brom,stoke,west bromwich albion,1.0,1.0,D,2016-09-24,2016-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
Sunderland,Crystal Palace,sunderland,crystal palace,2.0,3.0,A,2016-09-24,2016-2017,5.0,0.0,0.0,1358.0,0.0,2.0,212.0,1.0,,,,,,,,,,,,,,436.0,,,,,,,,4.0,40.0,12.0,0.0,0.0,0.0,0.0,2.0,,,,,11.0,456200000.0,432200000.0,-5.3,16.0,13.0,90000000.0,45000000.0,2.0,568.0,5.0,38.0,,,,,,2.0,-1.0
Swansea,Man City,swansea,manchester city,1.0,3.0,A,2016-09-24,2016-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,0.0,1653.0,3.0,0.0,214.0,0.0,,,,,2.0,1320000000.0,1230000000.0,-6.8,16.0,16.0,1038000000.0,64875000.0,16.0,3358.0,3.0,43.0,,,,,,2.0,-2.0
West Ham,Southampton,west ham,southampton,0.0,3.0,A,2016-09-25,2016-2017,0.0,0.0,0.0,1327.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,6.0,,,,,,2.0,-3.0
Burnley,Watford,burnley,watford,2.0,0.0,H,2016-09-26,2016-2017,4.0,0.0,12.0,0.0,2.0,0.0,0.0,1.0,,,,,20.0,235900000.0,226150000.0,-4.1,24.0,21.0,,,,432.0,23.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0
Everton,Crystal Palace,everton,crystal palace,1.0,1.0,D,2016-09-30,2016-2017,5.0,31.0,18.0,0.0,2.0,4.0,0.0,0.0,,,,,15.0,340200000.0,368600000.0,8.3,18.0,18.0,50000000.0,50000000.0,1.0,242.0,8.0,37.0,,,,,,4.0,40.0,12.0,0.0,0.0,0.0,0.0,2.0,,,,,11.0,456200000.0,432200000.0,-5.3,16.0,13.0,90000000.0,45000000.0,2.0,568.0,5.0,38.0,,,,,,1.0,0.0
Hull,Chelsea,hull,chelsea,0.0,2.0,A,2016-10-01,2016-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,10.0,1639.0,4.0,3.0,403.0,2.0,,,,,4.0,1170000000.0,1080000000.0,-7.4,26.0,23.0,675000000.0,61363636.36363637,11.0,464.0,4.0,41.0,,,,,,2.0,-2.0
Sunderland,West Brom,sunderland,west bromwich albion,1.0,1.0,D,2016-10-01,2016-2017,5.0,0.0,0.0,1358.0,0.0,2.0,212.0,1.0,,,,,,,,,,,,,,436.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
Swansea,Liverpool,swansea,liverpool,1.0,2.0,A,2016-10-01,2016-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,30.0,13.0,1370.0,2.0,3.0,217.0,0.0,,,,,3.0,1040000000.0,1120000000.0,8.1,15.0,12.0,910000000.0,75833333.33333333,12.0,466.0,1.0,48.0,,,,,,2.0,-1.0
Watford,Bournemouth,watford,bournemouth,2.0,2.0,D,2016-10-01,2016-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,34.0,0.0,0.0,2.0,0.0,0.0,2.0,,,,,13.0,420450000.0,383000000.0,-8.9,20.0,18.0,40000000.0,40000000.0,1.0,802.0,11.0,32.0,,,,,,1.0,0.0
West Ham,Middlesbrough,west ham,middlesbrough,1.0,1.0,D,2016-10-01,2016-2017,0.0,0.0,0.0,1327.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
Burnley,Arsenal,burnley,arsenal,0.0,1.0,A,2016-10-02,2016-2017,4.0,0.0,12.0,0.0,2.0,0.0,0.0,1.0,,,,,20.0,235900000.0,226150000.0,-4.1,24.0,21.0,,,,432.0,23.0,3.0,,,,,,6.0,0.0,14.0,1264.0,2.0,2.0,0.0,2.0,,,,,1.0,1320000000.0,1330000000.0,0.6,15.0,14.0,1150000000.0,67647058.8235294,17.0,2089.0,2.0,44.0,,,,,,2.0,-1.0
Leicester,Southampton,leicester,southampton,0.0,0.0,D,2016-10-02,2016-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,6.0,,,,,,1.0,0.0
Man United,Stoke,man united,stoke,1.0,1.0,D,2016-10-02,2016-2017,0.0,31.0,0.0,1380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
Tottenham,Man City,tottenham,manchester city,2.0,0.0,H,2016-10-02,2016-2017,5.0,33.0,10.0,1319.0,0.0,2.0,199.0,2.0,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,0.0,1653.0,3.0,0.0,214.0,0.0,,,,,2.0,1320000000.0,1230000000.0,-6.8,16.0,16.0,1038000000.0,64875000.0,16.0,3358.0,3.0,43.0,,,,,,0.0,2.0
Arsenal,Swansea,arsenal,swansea,3.0,2.0,H,2016-10-15,2016-2017,6.0,0.0,14.0,1264.0,2.0,2.0,0.0,2.0,,,,,1.0,1320000000.0,1330000000.0,0.6,15.0,14.0,1150000000.0,67647058.8235294,17.0,2089.0,2.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
Bournemouth,Hull,bournemouth,hull,6.0,1.0,H,2016-10-15,2016-2017,4.0,34.0,0.0,0.0,2.0,0.0,0.0,2.0,,,,,13.0,420450000.0,383000000.0,-8.9,20.0,18.0,40000000.0,40000000.0,1.0,802.0,11.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0
Chelsea,Leicester,chelsea,leicester,3.0,0.0,H,2016-10-15,2016-2017,7.0,0.0,10.0,1639.0,4.0,3.0,403.0,2.0,,,,,4.0,1170000000.0,1080000000.0,-7.4,26.0,23.0,675000000.0,61363636.36363637,11.0,464.0,4.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0
Crystal Palace,West Ham,crystal palace,west ham,0.0,1.0,A,2016-10-15,2016-2017,4.0,40.0,12.0,0.0,0.0,0.0,0.0,2.0,,,,,11.0,456200000.0,432200000.0,-5.3,16.0,13.0,90000000.0,45000000.0,2.0,568.0,5.0,38.0,,,,,,0.0,0.0,0.0,1327.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,2.0,-1.0
Man City,Everton,manchester city,everton,1.0,1.0,D,2016-10-15,2016-2017,5.0,0.0,0.0,1653.0,3.0,0.0,214.0,0.0,,,,,2.0,1320000000.0,1230000000.0,-6.8,16.0,16.0,1038000000.0,64875000.0,16.0,3358.0,3.0,43.0,,,,,,5.0,31.0,18.0,0.0,2.0,4.0,0.0,0.0,,,,,15.0,340200000.0,368600000.0,8.3,18.0,18.0,50000000.0,50000000.0,1.0,242.0,8.0,37.0,,,,,,1.0,0.0
Stoke,Sunderland,stoke,sunderland,2.0,0.0,H,2016-10-15,2016-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,0.0,1358.0,0.0,2.0,212.0,1.0,,,,,,,,,,,,,,436.0,,,,,,,,0.0,2.0
West Brom,Tottenham,west bromwich albion,tottenham,1.0,1.0,D,2016-10-15,2016-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,33.0,10.0,1319.0,0.0,2.0,199.0,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
Middlesbrough,Watford,middlesbrough,watford,0.0,1.0,A,2016-10-16,2016-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,-1.0
Southampton,Burnley,southampton,burnley,3.0,1.0,H,2016-10-16,2016-2017,,,,,,,,,,,,,,,,,,,,,,,21.0,6.0,,,,,,4.0,0.0,12.0,0.0,2.0,0.0,0.0,1.0,,,,,20.0,235900000.0,226150000.0,-4.1,24.0,21.0,,,,432.0,23.0,3.0,,,,,,0.0,2.0
Liverpool,Man United,liverpool,man united,0.0,0.0,D,2016-10-17,2016-2017,8.0,30.0,13.0,1370.0,2.0,3.0,217.0,0.0,,,,,3.0,1040000000.0,1120000000.0,8.1,15.0,12.0,910000000.0,75833333.33333333,12.0,466.0,1.0,48.0,,,,,,0.0,31.0,0.0,1380.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
Arsenal,Middlesbrough,arsenal,middlesbrough,0.0,0.0,D,2016-10-22,2016-2017,6.0,0.0,14.0,1264.0,2.0,2.0,0.0,2.0,,,,,1.0,1320000000.0,1330000000.0,0.6,15.0,14.0,1150000000.0,67647058.8235294,17.0,2089.0,2.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
Bournemouth,Tottenham,bournemouth,tottenham,0.0,0.0,D,2016-10-22,2016-2017,4.0,34.0,0.0,0.0,2.0,0.0,0.0,2.0,,,,,13.0,420450000.0,383000000.0,-8.9,20.0,18.0,40000000.0,40000000.0,1.0,802.0,11.0,32.0,,,,,,5.0,33.0,10.0,1319.0,0.0,2.0,199.0,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
Burnley,Everton,burnley,everton,2.0,1.0,H,2016-10-22,2016-2017,4.0,0.0,12.0,0.0,2.0,0.0,0.0,1.0,,,,,20.0,235900000.0,226150000.0,-4.1,24.0,21.0,,,,432.0,23.0,3.0,,,,,,5.0,31.0,18.0,0.0,2.0,4.0,0.0,0.0,,,,,15.0,340200000.0,368600000.0,8.3,18.0,18.0,50000000.0,50000000.0,1.0,242.0,8.0,37.0,,,,,,0.0,1.0
Hull,Stoke,hull,stoke,0.0,2.0,A,2016-10-22,2016-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,-2.0
Leicester,Crystal Palace,leicester,crystal palace,3.0,1.0,H,2016-10-22,2016-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,40.0,12.0,0.0,0.0,0.0,0.0,2.0,,,,,11.0,456200000.0,432200000.0,-5.3,16.0,13.0,90000000.0,45000000.0,2.0,568.0,5.0,38.0,,,,,,0.0,2.0
Liverpool,West Brom,liverpool,west bromwich albion,2.0,1.0,H,2016-10-22,2016-2017,8.0,30.0,13.0,1370.0,2.0,3.0,217.0,0.0,,,,,3.0,1040000000.0,1120000000.0,8.1,15.0,12.0,910000000.0,75833333.33333333,12.0,466.0,1.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
Swansea,Watford,swansea,watford,0.0,0.0,D,2016-10-22,2016-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
West Ham,Sunderland,west ham,sunderland,1.0,0.0,H,2016-10-22,2016-2017,0.0,0.0,0.0,1327.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,0.0,1358.0,0.0,2.0,212.0,1.0,,,,,,,,,,,,,,436.0,,,,,,,,0.0,1.0
Chelsea,Man United,chelsea,man united,4.0,0.0,H,2016-10-23,2016-2017,7.0,0.0,10.0,1639.0,4.0,3.0,403.0,2.0,,,,,4.0,1170000000.0,1080000000.0,-7.4,26.0,23.0,675000000.0,61363636.36363637,11.0,464.0,4.0,41.0,,,,,,0.0,31.0,0.0,1380.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0
Man City,Southampton,manchester city,southampton,1.0,1.0,D,2016-10-23,2016-2017,5.0,0.0,0.0,1653.0,3.0,0.0,214.0,0.0,,,,,2.0,1320000000.0,1230000000.0,-6.8,16.0,16.0,1038000000.0,64875000.0,16.0,3358.0,3.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,6.0,,,,,,1.0,0.0
Crystal Palace,Liverpool,crystal palace,liverpool,2.0,4.0,A,2016-10-29,2016-2017,4.0,40.0,12.0,0.0,0.0,0.0,0.0,2.0,,,,,11.0,456200000.0,432200000.0,-5.3,16.0,13.0,90000000.0,45000000.0,2.0,568.0,5.0,38.0,,,,,,8.0,30.0,13.0,1370.0,2.0,3.0,217.0,0.0,,,,,3.0,1040000000.0,1120000000.0,8.1,15.0,12.0,910000000.0,75833333.33333333,12.0,466.0,1.0,48.0,,,,,,2.0,-2.0
Man United,Burnley,man united,burnley,0.0,0.0,D,2016-10-29,2016-2017,0.0,31.0,0.0,1380.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,12.0,0.0,2.0,0.0,0.0,1.0,,,,,20.0,235900000.0,226150000.0,-4.1,24.0,21.0,,,,432.0,23.0,3.0,,,,,,1.0,0.0
Middlesbrough,Bournemouth,middlesbrough,bournemouth,2.0,0.0,H,2016-10-29,2016-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,34.0,0.0,0.0,2.0,0.0,0.0,2.0,,,,,13.0,420450000.0,383000000.0,-8.9,20.0,18.0,40000000.0,40000000.0,1.0,802.0,11.0,32.0,,,,,,0.0,2.0
